"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B28010_001E","Estimate!!Total:"
"B28010_001M","Margin of Error!!Total:"
"B28010_002E","Estimate!!Total:!!Has one or more types of computing devices:"
"B28010_002M","Margin of Error!!Total:!!Has one or more types of computing devices:"
"B28010_003E","Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop"
"B28010_003M","Margin of Error!!Total:!!Has one or more types of computing devices:!!Desktop or laptop"
"B28010_004E","Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone"
"B28010_004M","Margin of Error!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone"
"B28010_005E","Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer"
"B28010_005M","Margin of Error!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer"
"B28010_006E","Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer!!Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop"
"B28010_006M","Margin of Error!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer!!Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop"
"B28010_007E","Estimate!!Total:!!No Computer"
"B28010_007M","Margin of Error!!Total:!!No Computer"
