"GEO_ID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Has one or more types of computing devices:","Margin of Error!!Total:!!Has one or more types of computing devices:","Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","Margin of Error!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","Margin of Error!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer","Margin of Error!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer","Estimate!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer!!Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop","Margin of Error!!Total:!!Has one or more types of computing devices:!!Smartphone, tablet or other portable wireless computer or other computer!!Smartphone, tablet or other portable wireless computer or other computer, no desktop or laptop","Estimate!!Total:!!No Computer","Margin of Error!!Total:!!No Computer",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","510","95","394","84","280","78","0","12","394","84","114","42","116","49",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","248","58","218","48","193","43","35","36","183","55","25","19","30","37",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","555","139","518","145","438","142","36","43","482","142","80","51","37","37",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","331","82","298","79","232","67","9","13","289","77","66","43","33","22",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","255","91","222","82","193","78","5","7","217","82","29","26","33","40",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","371","53","334","49","303","49","9","13","325","50","31","21","37","17",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","366","86","366","86","357","88","28","28","338","86","9","16","0","12",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","524","153","443","139","325","126","32","26","411","142","118","82","81","71",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","909","197","794","198","588","186","141","84","653","184","206","114","115","84",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","403","150","363","150","221","108","17","24","346","145","142","96","40","38",
