"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","487","234","340","190","147","146",
"1500000US150010210142","Block Group 2; Census Tract 210.14; Hawaii County; Hawaii","852","279","539","191","313","211",
"1500000US150010210143","Block Group 3; Census Tract 210.14; Hawaii County; Hawaii","1253","289","1052","283","201","150",
"1500000US150010210151","Block Group 1; Census Tract 210.15; Hawaii County; Hawaii","783","244","636","244","147","139",
"1500000US150010210152","Block Group 2; Census Tract 210.15; Hawaii County; Hawaii","1034","334","777","299","257","251",
"1500000US150010210161","Block Group 1; Census Tract 210.16; Hawaii County; Hawaii","874","219","824","222","50","57",
"1500000US150010210162","Block Group 2; Census Tract 210.16; Hawaii County; Hawaii","769","164","605","152","164","85",
"1500000US150010210163","Block Group 3; Census Tract 210.16; Hawaii County; Hawaii","255","111","174","98","81","67",
"1500000US150010210171","Block Group 1; Census Tract 210.17; Hawaii County; Hawaii","334","118","294","113","40","32",
"1500000US150010210172","Block Group 2; Census Tract 210.17; Hawaii County; Hawaii","437","138","372","132","65","36",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","961","214","717","189","244","139",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","38","32","38","32","0","12",
"1500000US150010211012","Block Group 2; Census Tract 211.01; Hawaii County; Hawaii","808","148","680","134","128","60",
"1500000US150010211013","Block Group 3; Census Tract 211.01; Hawaii County; Hawaii","556","164","451","157","105","65",
"1500000US150010211071","Block Group 1; Census Tract 211.07; Hawaii County; Hawaii","383","88","288","84","95","56",
"1500000US150010211081","Block Group 1; Census Tract 211.08; Hawaii County; Hawaii","685","268","438","203","247","169",
"1500000US150010211082","Block Group 2; Census Tract 211.08; Hawaii County; Hawaii","1002","189","906","196","96","66",
"1500000US150010211083","Block Group 3; Census Tract 211.08; Hawaii County; Hawaii","731","170","503","141","228","88",
"1500000US150010212031","Block Group 1; Census Tract 212.03; Hawaii County; Hawaii","536","140","440","131","96","67",
"1500000US150010212032","Block Group 2; Census Tract 212.03; Hawaii County; Hawaii","902","326","616","284","286","203",
"1500000US150010212033","Block Group 3; Census Tract 212.03; Hawaii County; Hawaii","703","245","534","217","169","143",
"1500000US150010212034","Block Group 4; Census Tract 212.03; Hawaii County; Hawaii","110","74","98","73","12","11",
"1500000US150010212041","Block Group 1; Census Tract 212.04; Hawaii County; Hawaii","237","76","162","66","75","47",
"1500000US150010212042","Block Group 2; Census Tract 212.04; Hawaii County; Hawaii","144","85","144","85","0","12",
"1500000US150010212043","Block Group 3; Census Tract 212.04; Hawaii County; Hawaii","692","119","578","114","114","39",
"1500000US150010213001","Block Group 1; Census Tract 213; Hawaii County; Hawaii","538","192","235","94","303","182",
"1500000US150010213002","Block Group 2; Census Tract 213; Hawaii County; Hawaii","552","176","374","148","178","111",
"1500000US150010213003","Block Group 3; Census Tract 213; Hawaii County; Hawaii","1048","239","872","238","176","88",
"1500000US150010213004","Block Group 4; Census Tract 213; Hawaii County; Hawaii","336","197","286","179","50","79",
"1500000US150010214021","Block Group 1; Census Tract 214.02; Hawaii County; Hawaii","366","75","315","76","51","25",
"1500000US150010214022","Block Group 2; Census Tract 214.02; Hawaii County; Hawaii","872","144","406","128","466","141",
"1500000US150010215021","Block Group 1; Census Tract 215.02; Hawaii County; Hawaii","670","137","374","103","296","120",
"1500000US150010215022","Block Group 2; Census Tract 215.02; Hawaii County; Hawaii","730","139","506","114","224","105",
"1500000US150010215023","Block Group 3; Census Tract 215.02; Hawaii County; Hawaii","423","133","207","71","216","115",
"1500000US150010215041","Block Group 1; Census Tract 215.04; Hawaii County; Hawaii","830","134","305","85","525","116",
"1500000US150010215042","Block Group 2; Census Tract 215.04; Hawaii County; Hawaii","904","209","506","106","398","177",
"1500000US150010215101","Block Group 1; Census Tract 215.10; Hawaii County; Hawaii","676","183","514","186","162","77",
"1500000US150010215102","Block Group 2; Census Tract 215.10; Hawaii County; Hawaii","290","84","141","51","149","75",
"1500000US150010215103","Block Group 3; Census Tract 215.10; Hawaii County; Hawaii","530","166","424","161","106","68",
"1500000US150010215104","Block Group 4; Census Tract 215.10; Hawaii County; Hawaii","185","75","83","45","102","68",
"1500000US150010215111","Block Group 1; Census Tract 215.11; Hawaii County; Hawaii","612","136","437","99","175","106",
"1500000US150010215121","Block Group 1; Census Tract 215.12; Hawaii County; Hawaii","760","135","647","137","113","91",
"1500000US150010215122","Block Group 2; Census Tract 215.12; Hawaii County; Hawaii","1068","250","628","191","440","204",
"1500000US150010215131","Block Group 1; Census Tract 215.13; Hawaii County; Hawaii","713","229","493","164","220","145",
"1500000US150010215132","Block Group 2; Census Tract 215.13; Hawaii County; Hawaii","751","204","548","213","203","124",
"1500000US150010215133","Block Group 3; Census Tract 215.13; Hawaii County; Hawaii","577","205","478","191","99","101",
"1500000US150010216051","Block Group 1; Census Tract 216.05; Hawaii County; Hawaii","407","125","336","131","71","75",
"1500000US150010216052","Block Group 2; Census Tract 216.05; Hawaii County; Hawaii","369","145","271","131","98","70",
"1500000US150010216053","Block Group 3; Census Tract 216.05; Hawaii County; Hawaii","817","230","317","178","500","162",
"1500000US150010216061","Block Group 1; Census Tract 216.06; Hawaii County; Hawaii","690","192","262","148","428","174",
"1500000US150010216062","Block Group 2; Census Tract 216.06; Hawaii County; Hawaii","683","200","611","183","72","77",
"1500000US150010216071","Block Group 1; Census Tract 216.07; Hawaii County; Hawaii","556","193","482","190","74","112",
"1500000US150010216072","Block Group 2; Census Tract 216.07; Hawaii County; Hawaii","754","247","669","243","85","74",
"1500000US150010216073","Block Group 3; Census Tract 216.07; Hawaii County; Hawaii","462","122","388","120","74","59",
"1500000US150010216081","Block Group 1; Census Tract 216.08; Hawaii County; Hawaii","261","140","172","87","89","114",
"1500000US150010216082","Block Group 2; Census Tract 216.08; Hawaii County; Hawaii","472","265","364","252","108","122",
"1500000US150010216083","Block Group 3; Census Tract 216.08; Hawaii County; Hawaii","728","163","496","160","232","107",
"1500000US150010216084","Block Group 4; Census Tract 216.08; Hawaii County; Hawaii","336","191","290","175","46","74",
"1500000US150010217051","Block Group 1; Census Tract 217.05; Hawaii County; Hawaii","1141","279","789","176","352","241",
"1500000US150010217052","Block Group 2; Census Tract 217.05; Hawaii County; Hawaii","564","256","446","242","118","89",
"1500000US150010217053","Block Group 3; Census Tract 217.05; Hawaii County; Hawaii","665","215","368","157","297","190",
"1500000US150010217061","Block Group 1; Census Tract 217.06; Hawaii County; Hawaii","647","181","488","136","159","135",
"1500000US150010217062","Block Group 2; Census Tract 217.06; Hawaii County; Hawaii","664","153","485","126","179","87",
"1500000US150010217071","Block Group 1; Census Tract 217.07; Hawaii County; Hawaii","957","182","760","176","197","117",
"1500000US150010217072","Block Group 2; Census Tract 217.07; Hawaii County; Hawaii","453","162","315","123","138","109",
"1500000US150010217073","Block Group 3; Census Tract 217.07; Hawaii County; Hawaii","88","62","79","69","9","16",
"1500000US150010217081","Block Group 1; Census Tract 217.08; Hawaii County; Hawaii","576","126","438","101","138","88",
"1500000US150010217082","Block Group 2; Census Tract 217.08; Hawaii County; Hawaii","416","148","376","138","40","47",
"1500000US150010217083","Block Group 3; Census Tract 217.08; Hawaii County; Hawaii","742","181","403","142","339","154",
"1500000US150010218001","Block Group 1; Census Tract 218; Hawaii County; Hawaii","430","122","321","125","109","46",
"1500000US150010218002","Block Group 2; Census Tract 218; Hawaii County; Hawaii","1000","250","936","250","64","76",
"1500000US150010218003","Block Group 3; Census Tract 218; Hawaii County; Hawaii","612","153","474","137","138","78",
"1500000US150010218004","Block Group 4; Census Tract 218; Hawaii County; Hawaii","318","121","235","88","83","85",
"1500000US150010219021","Block Group 1; Census Tract 219.02; Hawaii County; Hawaii","566","135","509","132","57","43",
"1500000US150010219022","Block Group 2; Census Tract 219.02; Hawaii County; Hawaii","227","88","115","73","112","58",
"1500000US150010219023","Block Group 3; Census Tract 219.02; Hawaii County; Hawaii","411","93","330","81","81","48",
"1500000US150010220001","Block Group 1; Census Tract 220; Hawaii County; Hawaii","457","105","314","104","143","75",
"1500000US150010220002","Block Group 2; Census Tract 220; Hawaii County; Hawaii","379","84","305","74","74","45",
"1500000US150010221021","Block Group 1; Census Tract 221.02; Hawaii County; Hawaii","253","77","202","67","51","46",
"1500000US150010221022","Block Group 2; Census Tract 221.02; Hawaii County; Hawaii","405","105","296","92","109","58",
"1500000US150019900000","Block Group 0; Census Tract 9900; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019901000","Block Group 0; Census Tract 9901; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019903000","Block Group 0; Census Tract 9903; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019904000","Block Group 0; Census Tract 9904; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019905000","Block Group 0; Census Tract 9905; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019906000","Block Group 0; Census Tract 9906; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019907000","Block Group 0; Census Tract 9907; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019908000","Block Group 0; Census Tract 9908; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019909000","Block Group 0; Census Tract 9909; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019910000","Block Group 0; Census Tract 9910; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019911000","Block Group 0; Census Tract 9911; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019912000","Block Group 0; Census Tract 9912; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019913000","Block Group 0; Census Tract 9913; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019914000","Block Group 0; Census Tract 9914; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019915000","Block Group 0; Census Tract 9915; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019916000","Block Group 0; Census Tract 9916; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150019917000","Block Group 0; Census Tract 9917; Hawaii County; Hawaii","0","12","0","12","0","12",
"1500000US150030001071","Block Group 1; Census Tract 1.07; Honolulu County; Hawaii","505","56","413","62","92","39",
"1500000US150030001072","Block Group 2; Census Tract 1.07; Honolulu County; Hawaii","431","74","366","66","65","42",
"1500000US150030001081","Block Group 1; Census Tract 1.08; Honolulu County; Hawaii","441","98","360","95","81","54",
"1500000US150030001082","Block Group 2; Census Tract 1.08; Honolulu County; Hawaii","305","81","223","77","82","65",
"1500000US150030001083","Block Group 3; Census Tract 1.08; Honolulu County; Hawaii","510","197","395","198","115","64",
"1500000US150030001101","Block Group 1; Census Tract 1.10; Honolulu County; Hawaii","496","140","453","130","43","44",
"1500000US150030001102","Block Group 2; Census Tract 1.10; Honolulu County; Hawaii","309","101","234","89","75","47",
"1500000US150030001103","Block Group 3; Census Tract 1.10; Honolulu County; Hawaii","430","109","376","101","54","42",
"1500000US150030001104","Block Group 4; Census Tract 1.10; Honolulu County; Hawaii","199","67","176","68","23","26",
"1500000US150030001141","Block Group 1; Census Tract 1.14; Honolulu County; Hawaii","214","39","188","42","26","22",
"1500000US150030001142","Block Group 2; Census Tract 1.14; Honolulu County; Hawaii","323","81","255","52","68","69",
"1500000US150030001151","Block Group 1; Census Tract 1.15; Honolulu County; Hawaii","621","192","355","157","266","118",
"1500000US150030001152","Block Group 2; Census Tract 1.15; Honolulu County; Hawaii","197","62","197","62","0","12",
"1500000US150030001153","Block Group 3; Census Tract 1.15; Honolulu County; Hawaii","125","68","125","68","0","12",
"1500000US150030001161","Block Group 1; Census Tract 1.16; Honolulu County; Hawaii","1133","145","840","177","293","109",
"1500000US150030001171","Block Group 1; Census Tract 1.17; Honolulu County; Hawaii","516","127","360","94","156","72",
"1500000US150030001181","Block Group 1; Census Tract 1.18; Honolulu County; Hawaii","666","103","607","110","59","44",
"1500000US150030001191","Block Group 1; Census Tract 1.19; Honolulu County; Hawaii","320","67","293","71","27","28",
"1500000US150030001192","Block Group 2; Census Tract 1.19; Honolulu County; Hawaii","346","188","326","191","20","27",
"1500000US150030001193","Block Group 3; Census Tract 1.19; Honolulu County; Hawaii","165","52","152","53","13","21",
"1500000US150030001201","Block Group 1; Census Tract 1.20; Honolulu County; Hawaii","278","87","192","72","86","50",
"1500000US150030001202","Block Group 2; Census Tract 1.20; Honolulu County; Hawaii","173","52","169","53","4","7",
"1500000US150030001203","Block Group 3; Census Tract 1.20; Honolulu County; Hawaii","339","87","311","88","28","26",
"1500000US150030001211","Block Group 1; Census Tract 1.21; Honolulu County; Hawaii","720","100","581","113","139","86",
"1500000US150030001212","Block Group 2; Census Tract 1.21; Honolulu County; Hawaii","255","94","239","99","16","22",
"1500000US150030001221","Block Group 1; Census Tract 1.22; Honolulu County; Hawaii","387","166","372","166","15","23",
"1500000US150030001222","Block Group 2; Census Tract 1.22; Honolulu County; Hawaii","269","76","224","67","45","45",
"1500000US150030001223","Block Group 3; Census Tract 1.22; Honolulu County; Hawaii","330","83","330","83","0","12",
"1500000US150030002001","Block Group 1; Census Tract 2; Honolulu County; Hawaii","240","84","174","60","66","64",
"1500000US150030002002","Block Group 2; Census Tract 2; Honolulu County; Hawaii","251","89","214","90","37","30",
"1500000US150030002003","Block Group 3; Census Tract 2; Honolulu County; Hawaii","497","122","485","122","12","18",
"1500000US150030002004","Block Group 4; Census Tract 2; Honolulu County; Hawaii","279","68","269","67","10","16",
