"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii","13","0","0","0","0","0","13","0","0","13",
"1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii","320","320","320","0","0","0","0","0","0","0",
"1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii","344","333","0","0","333","0","11","0","0","11",
"1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii","19","0","0","0","0","0","19","0","0","19",
"1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii","131","88","88","0","0","0","43","0","0","43",
"1500000US150010204001","Block Group 1, Census Tract 204, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010204002","Block Group 2, Census Tract 204, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","51","0","0","0","0","0","51","0","0","51",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","53","0","0","0","0","0","53","0","0","53",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","6","0","0","0","0","0","6","0","0","6",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","581","0","0","0","0","0","581","559","0","22",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","4","4","0","0","0","4","0","0","0","0",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","3","0","0","0","0","0","3","0","0","3",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","19","0","0","0","0","0","19","0","0","19",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","106","106","106","0","0","0","0","0","0","0",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","13","0","0","0","0","0","13","0","0","13",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","9","0","0","0","0","0","9","0","0","9",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","14","0","0","0","0","0","14","0","0","14",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","16","0","0","0","0","0","16","0","0","16",
"1500000US150010208013","Block Group 3, Census Tract 208.01, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","85","85","0","0","85","0","0","0","0","0",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","6","0","0","0","0","0","6","0","0","6",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","1","0","0","0","0","0","1","0","0","1",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010208025","Block Group 5, Census Tract 208.02, Hawaii County, Hawaii","70","70","0","0","70","0","0","0","0","0",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010209004","Block Group 4, Census Tract 209, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010209005","Block Group 5, Census Tract 209, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","18","0","0","0","0","0","18","0","0","18",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010210034","Block Group 4, Census Tract 210.03, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
"1500000US150010210035","Block Group 5, Census Tract 210.03, Hawaii County, Hawaii","0","0","0","0","0","0","0","0","0","0",
