"GEO_ID","NAME","C16002_001E","C16002_001M","C16002_002E","C16002_002M","C16002_003E","C16002_003M","C16002_004E","C16002_004M","C16002_005E","C16002_005M","C16002_006E","C16002_006M","C16002_007E","C16002_007M","C16002_008E","C16002_008M","C16002_009E","C16002_009M","C16002_010E","C16002_010M","C16002_011E","C16002_011M","C16002_012E","C16002_012M","C16002_013E","C16002_013M","C16002_014E","C16002_014M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!English only","Margin of Error!!Total:!!English only","Estimate!!Total:!!Spanish:","Margin of Error!!Total:!!Spanish:","Estimate!!Total:!!Spanish:!!Limited English speaking household","Margin of Error!!Total:!!Spanish:!!Limited English speaking household","Estimate!!Total:!!Spanish:!!Not a limited English speaking household","Margin of Error!!Total:!!Spanish:!!Not a limited English speaking household","Estimate!!Total:!!Other Indo-European languages:","Margin of Error!!Total:!!Other Indo-European languages:","Estimate!!Total:!!Other Indo-European languages:!!Limited English speaking household","Margin of Error!!Total:!!Other Indo-European languages:!!Limited English speaking household","Estimate!!Total:!!Other Indo-European languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other Indo-European languages:!!Not a limited English speaking household","Estimate!!Total:!!Asian and Pacific Island languages:","Margin of Error!!Total:!!Asian and Pacific Island languages:","Estimate!!Total:!!Asian and Pacific Island languages:!!Limited English speaking household","Margin of Error!!Total:!!Asian and Pacific Island languages:!!Limited English speaking household","Estimate!!Total:!!Asian and Pacific Island languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Asian and Pacific Island languages:!!Not a limited English speaking household","Estimate!!Total:!!Other languages:","Margin of Error!!Total:!!Other languages:","Estimate!!Total:!!Other languages:!!Limited English speaking household","Margin of Error!!Total:!!Other languages:!!Limited English speaking household","Estimate!!Total:!!Other languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other languages:!!Not a limited English speaking household",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","510","95","209","60","29","28","0","12","29","28","0","12","0","12","0","12","254","66","53","36","201","63","18","19","0","12","18","19",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","248","58","131","51","32","33","0","12","32","33","5","8","0","12","5","8","44","18","4","5","40","17","36","38","0","12","36","38",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","555","139","423","114","1","2","0","12","1","2","12","14","0","12","12","14","119","87","15","13","104","86","0","12","0","12","0","12",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","331","82","244","72","2","5","2","5","0","12","0","12","0","12","0","12","65","31","0","12","65","31","20","22","12","18","8","11",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","255","91","228","89","9","11","0","12","9","11","0","12","0","12","0","12","6","8","1","2","5","8","12","16","0","12","12","16",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","371","53","254","52","20","22","0","12","20","22","1","2","0","12","1","2","93","27","11","10","82","26","3","4","0","12","3","4",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","366","86","212","66","39","32","0","12","39","32","0","12","0","12","0","12","115","75","25","38","90","65","0","12","0","12","0","12",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","524","153","392","128","8","12","0","12","8","12","0","12","0","12","0","12","124","101","0","12","124","101","0","12","0","12","0","12",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","909","197","647","197","19","21","7","11","12","19","0","12","0","12","0","12","162","110","7","11","155","110","81","85","81","85","0","12",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","403","150","268","111","41","55","0","12","41","55","0","12","0","12","0","12","50","59","27","47","23","30","44","68","0","12","44","68",
