"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total:!!With an Internet subscription!!Dial-up alone","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Other service","Margin of Error!!Total:!!With an Internet subscription!!Other service","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","510","95","347","82","0","12","288","78","26","21","0","12","3","5","160","56",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","248","58","199","46","0","12","130","29","36","36","29","42","4","5","45","39",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","555","139","496","147","4","6","411","135","49","55","8","11","1","3","58","42",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","331","82","284","75","0","12","258","72","1","2","0","12","0","12","47","35",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","255","91","207","81","0","12","161","74","23","20","0","12","0","12","48","44",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","371","53","325","49","0","12","289","46","0","12","5","8","9","12","37","17",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","366","86","319","85","0","12","261","67","8","13","0","12","0","12","47","46",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","524","153","423","132","0","12","368","130","0","12","0","12","8","16","93","73",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","909","197","794","198","0","12","526","142","33","31","13","21","0","12","115","84",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","403","150","349","145","0","12","188","104","20","34","0","12","0","12","54","48",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","314","112","306","111","0","12","287","113","0","12","0","12","0","12","8","14",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","648","158","543","154","0","12","384","132","34","41","9","13","8","12","97","66",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","579","246","456","254","96","131","145","117","180","203","0","12","21","36","102","101",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","470","192","372","185","0","12","345","181","0","12","0","12","26","40","72","69",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","354","111","303","105","0","12","258","110","78","64","0","12","21","32","30","30",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","656","190","589","188","0","12","510","179","0","12","16","26","0","12","67","62",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","482","105","395","109","0","12","315","102","0","12","0","12","0","12","87","55",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","333","62","254","75","0","12","181","45","12","10","1","4","6","6","73","52",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","497","65","425","63","0","12","341","52","32","17","4","6","29","18","43","18",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","835","126","707","124","0","12","566","88","33","25","25","26","24","25","104","48",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","910","147","733","150","0","12","656","143","0","12","13","22","20","26","157","79",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","467","139","467","139","0","12","404","126","0","12","0","12","0","12","0","12",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","449","108","353","93","0","12","308","92","30","35","0","12","35","52","61","53",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","627","209","568","211","9","13","554","212","0","12","0","12","22","33","37","39",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","708","122","672","121","0","12","613","119","9","14","0","12","9","14","27","25",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","451","104","390","99","17","18","321","94","9","14","0","12","8","12","53","50",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","481","95","411","90","0","12","388","92","9","13","0","12","11","16","59","39",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","880","147","816","153","0","12","742","141","53","58","0","12","34","52","30","26",
"1500000US150010208013","Block Group 3; Census Tract 208.01; Hawaii County; Hawaii","294","77","294","77","0","12","258","67","0","12","0","12","0","12","0","12",
"1500000US150010208021","Block Group 1; Census Tract 208.02; Hawaii County; Hawaii","527","136","477","140","0","12","404","148","28","43","0","12","12","19","38","45",
"1500000US150010208022","Block Group 2; Census Tract 208.02; Hawaii County; Hawaii","172","75","141","75","0","12","114","71","18","29","0","12","0","12","31","34",
"1500000US150010208023","Block Group 3; Census Tract 208.02; Hawaii County; Hawaii","900","191","794","187","0","12","678","171","26","29","0","12","38","58","68","65",
"1500000US150010208024","Block Group 4; Census Tract 208.02; Hawaii County; Hawaii","315","105","268","105","0","12","228","97","0","12","23","37","0","12","47","45",
"1500000US150010208025","Block Group 5; Census Tract 208.02; Hawaii County; Hawaii","458","151","431","153","0","12","351","130","17","26","0","12","10","16","17","28",
"1500000US150010209001","Block Group 1; Census Tract 209; Hawaii County; Hawaii","298","96","270","92","0","12","201","71","37","53","0","12","0","12","28","31",
"1500000US150010209002","Block Group 2; Census Tract 209; Hawaii County; Hawaii","480","126","470","130","0","12","417","131","2","4","0","12","0","12","10","17",
"1500000US150010209003","Block Group 3; Census Tract 209; Hawaii County; Hawaii","287","80","276","78","0","12","240","80","7","12","0","12","0","12","11","17",
"1500000US150010209004","Block Group 4; Census Tract 209; Hawaii County; Hawaii","268","71","248","69","0","12","238","68","19","21","0","12","10","16","10","16",
"1500000US150010209005","Block Group 5; Census Tract 209; Hawaii County; Hawaii","374","122","343","119","0","12","206","81","13","15","0","12","14","23","17","26",
"1500000US150010210031","Block Group 1; Census Tract 210.03; Hawaii County; Hawaii","528","130","387","123","0","12","283","123","45","46","0","12","23","39","118","64",
"1500000US150010210032","Block Group 2; Census Tract 210.03; Hawaii County; Hawaii","521","187","402","153","0","12","269","105","64","56","0","12","8","11","111","133",
"1500000US150010210033","Block Group 3; Census Tract 210.03; Hawaii County; Hawaii","951","223","759","213","0","12","528","152","109","90","0","12","25","40","167","89",
"1500000US150010210034","Block Group 4; Census Tract 210.03; Hawaii County; Hawaii","140","117","140","117","0","12","89","100","0","12","0","12","0","12","0","12",
"1500000US150010210035","Block Group 5; Census Tract 210.03; Hawaii County; Hawaii","589","149","454","141","0","12","271","131","39","47","0","12","16","25","119","96",
"1500000US150010210111","Block Group 1; Census Tract 210.11; Hawaii County; Hawaii","579","182","515","171","0","12","216","119","171","111","35","51","0","12","64","75",
"1500000US150010210112","Block Group 2; Census Tract 210.11; Hawaii County; Hawaii","678","190","578","188","10","14","489","176","48","57","24","35","15","17","85","80",
"1500000US150010210113","Block Group 3; Census Tract 210.11; Hawaii County; Hawaii","294","119","203","108","0","12","91","80","55","62","15","24","0","12","91","79",
"1500000US150010210131","Block Group 1; Census Tract 210.13; Hawaii County; Hawaii","373","84","276","75","0","12","242","71","5","7","3","4","0","12","97","62",
"1500000US150010210132","Block Group 2; Census Tract 210.13; Hawaii County; Hawaii","499","120","404","122","16","23","310","105","62","63","11","11","0","12","95","71",
"1500000US150010210133","Block Group 3; Census Tract 210.13; Hawaii County; Hawaii","827","148","744","154","0","12","557","124","37","33","0","12","16","13","67","45",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","487","234","487","234","0","12","423","226","42","70","0","12","0","12","0","12",
