"GEO_ID","NAME","C17002_001E","C17002_001M","C17002_002E","C17002_002M","C17002_003E","C17002_003M","C17002_004E","C17002_004M","C17002_005E","C17002_005M","C17002_006E","C17002_006M","C17002_007E","C17002_007M","C17002_008E","C17002_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under .50","Margin of Error!!Total:!!Under .50","Estimate!!Total:!!.50 to .99","Margin of Error!!Total:!!.50 to .99","Estimate!!Total:!!1.00 to 1.24","Margin of Error!!Total:!!1.00 to 1.24","Estimate!!Total:!!1.25 to 1.49","Margin of Error!!Total:!!1.25 to 1.49","Estimate!!Total:!!1.50 to 1.84","Margin of Error!!Total:!!1.50 to 1.84","Estimate!!Total:!!1.85 to 1.99","Margin of Error!!Total:!!1.85 to 1.99","Estimate!!Total:!!2.00 and over","Margin of Error!!Total:!!2.00 and over",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","1462","331","211","131","140","90","38","29","15","22","210","157","3","5","845","240",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","602","144","46","43","7","8","9","8","26","25","15","16","1","5","498","138",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","1335","317","47","37","55","52","1","3","39","45","74","49","101","126","1018","314",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","1080","304","27","28","118","106","12","18","27","31","125","127","0","12","771","253",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","775","338","24","39","41","43","0","12","69","102","265","296","0","12","376","143",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","1023","148","36","20","41","44","50","44","53","38","47","39","32","32","764","159",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","1154","282","57","54","10","26","61","74","141","151","9","16","0","12","876","269",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","1149","479","84","64","364","225","63","60","51","61","260","367","40","66","287","118",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","1650","360","239","157","248","163","168","146","121","93","106","115","86","88","682","284",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","1304","580","126","134","398","289","0","12","0","12","113","119","0","12","667","459",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","745","318","53","74","77","87","6","10","0","12","11","19","0","12","598","296",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","1231","363","94","75","141","159","207","179","62","59","16","21","24","21","687","296",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","1234","586","315","369","20","34","0","12","257","319","101","109","0","12","541","405",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","1193","591","270","206","88","74","0","12","74","114","0","12","0","12","761","563",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","1427","489","504","376","175","129","275","241","0","12","43","70","0","12","430","311",
