"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"C17002_001E","Estimate!!Total:"
"C17002_001M","Margin of Error!!Total:"
"C17002_002E","Estimate!!Total:!!Under .50"
"C17002_002M","Margin of Error!!Total:!!Under .50"
"C17002_003E","Estimate!!Total:!!.50 to .99"
"C17002_003M","Margin of Error!!Total:!!.50 to .99"
"C17002_004E","Estimate!!Total:!!1.00 to 1.24"
"C17002_004M","Margin of Error!!Total:!!1.00 to 1.24"
"C17002_005E","Estimate!!Total:!!1.25 to 1.49"
"C17002_005M","Margin of Error!!Total:!!1.25 to 1.49"
"C17002_006E","Estimate!!Total:!!1.50 to 1.84"
"C17002_006M","Margin of Error!!Total:!!1.50 to 1.84"
"C17002_007E","Estimate!!Total:!!1.85 to 1.99"
"C17002_007M","Margin of Error!!Total:!!1.85 to 1.99"
"C17002_008E","Estimate!!Total:!!2.00 and over"
"C17002_008M","Margin of Error!!Total:!!2.00 and over"
