"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","1462","331","1462","331","510","95","239","72","79","36","160","62","271","79","49","30","222","76","220","78","0","12","55","30","0","12","448","164","424","161","0","12","24","28","75","90","16","20","33","37","0","12","9","13","25","32","0","12","71","53","0","12",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","602","144","602","144","248","58","133","46","31","18","102","41","115","41","46","40","69","21","133","43","0","12","13","10","0","12","153","75","150","75","3","5","0","12","13","14","19","17","3","5","5","6","3","4","3","5","0","12","9","10","0","12",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","1339","318","1321","318","555","139","211","54","61","42","150","43","344","141","54","40","290","138","292","106","3","5","24","21","0","12","301","130","280","130","14","13","7","9","23","24","9","9","12","8","0","12","12","16","0","12","0","12","90","66","18","5",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","1096","312","1096","312","331","82","152","58","22","19","130","57","179","56","46","28","133","50","160","65","0","12","20","17","0","12","323","126","312","124","0","12","11","15","31","27","32","25","40","32","0","12","33","37","46","39","0","12","80","60","0","12",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","1279","340","775","338","255","91","140","94","32","40","108","84","115","49","21","28","94","42","140","60","0","12","15","17","0","12","293","208","256","196","37","59","0","12","48","60","0","12","0","12","0","12","12","15","0","12","0","12","12","13","504","39",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","1023","148","1007","148","371","53","128","32","52","26","76","26","243","50","58","30","185","40","184","47","0","12","11","11","0","12","213","64","213","64","0","12","0","12","21","21","24","23","30","19","0","12","2","5","100","81","0","12","51","37","16","3",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","1353","294","1176","293","366","86","129","70","21","25","108","66","237","88","61","45","176","76","180","66","0","12","0","12","0","12","276","144","276","144","0","12","0","12","114","105","28","31","0","12","0","12","75","49","43","35","0","12","94","56","177","9",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","1149","479","1149","479","524","153","207","116","57","47","150","108","317","136","141","93","176","104","44","34","0","12","21","29","0","12","429","332","429","332","0","12","0","12","0","12","12","20","0","12","0","12","0","12","0","12","0","12","119","141","0","12",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","1665","359","1552","362","909","197","369","141","227","125","142","66","540","169","258","156","282","121","133","74","0","12","39","39","30","44","262","151","262","151","0","12","0","12","54","89","13","22","20","22","0","12","0","12","69","98","0","12","23","30","113","16",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","1304","580","1304","580","403","150","128","77","36","34","92","70","275","133","17","27","258","132","182","82","0","12","0","12","0","12","512","271","460","250","44","78","8","14","141","197","0","12","0","12","0","12","30","50","0","12","0","12","36","39","0","12",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","858","417","858","417","314","112","97","60","13","14","84","57","217","96","64","32","153","92","108","77","0","12","30","48","0","12","195","113","195","113","0","12","0","12","0","12","22","39","0","12","0","12","0","12","59","103","113","173","17","22","0","12",
