"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","601","110","0","12","24","21","33","28","50","36","82","36","294","80","87","39","17","18","5","6","9","14",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","340","71","0","12","0","12","77","38","42","16","24","21","7","6","57","70","28","14","29","16","76","36",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","728","152","0","12","46","38","140","94","14","9","148","103","53","37","70","30","141","73","67","71","49","23",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","420","101","0","12","31","26","0","12","40","25","32","22","48","25","56","37","45","29","24","22","144","55",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","297","97","0","12","0","12","25","23","45","28","43","26","31","40","24","28","35","32","22","18","72","78",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","430","63","0","12","19","13","36","28","41","22","46","29","110","41","61","35","24","19","25","15","68","33",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","404","92","0","12","0","12","42","30","50","48","19","27","88","61","28","27","89","60","68","48","20","23",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","615","163","0","12","6","11","0","12","23","28","128","81","283","125","11","16","0","12","45","46","119","68",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","989","189","0","12","8","13","17","20","121","63","184","101","92","78","223","126","40","42","83","67","221","114",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","547","167","0","12","40","44","113","85","77","59","79","44","109","90","100","71","29","46","0","12","0","12",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","339","114","0","12","11","17","63","48","132","80","21","21","91","61","21","29","0","12","0","12","0","12",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","673","152","0","12","0","12","9","15","153","99","4","8","260","108","51","48","65","57","88","77","43","45",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","625","264","0","12","0","12","0","12","0","12","188","205","258","138","114","135","17","35","22","36","26","42",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","574","203","0","12","0","12","0","12","56","75","26","40","206","138","210","166","26","40","28","43","22","37",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","499","148","0","12","0","12","30","30","42","47","106","72","219","136","31","41","50","80","0","12","21","32",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","765","232","0","12","21","35","26","41","68","67","48","52","151","110","128","121","134","99","121","140","68","75",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","605","104","0","12","0","12","31","36","28","30","114","67","257","82","50","46","56","42","69","52","0","12",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","345","60","0","12","19","9","74","58","78","33","73","38","24","17","43","35","34","39","0","12","0","12",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","546","65","0","12","31","20","85","28","104","29","83","26","158","33","13","14","37","20","20","13","15","10",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","852","125","0","12","72","56","162","46","170","55","67","48","177","48","129","71","59","33","12","10","4","5",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","975","137","0","12","22","27","121","73","81","60","195","80","121","79","142","77","127","65","104","94","62","54",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","567","160","0","12","56","51","49","64","47","59","111","77","51","52","97","84","76","65","55","76","25","27",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","581","130","0","12","0","12","44","40","42","67","240","94","32","34","163","92","55","35","0","12","5","9",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","669","203","0","12","14","22","16","19","98","61","225","134","202","155","108","67","6","13","0","12","0","12",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","738","122","0","12","9","14","21","24","27","27","259","84","320","96","30","21","72","55","0","12","0","12",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","480","112","0","12","45","36","40","27","68","35","10","15","242","95","9","14","9","13","57","64","0","12",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","498","91","0","12","10","17","50","34","128","69","65","30","153","52","63","39","0","12","29","47","0","12",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","880","147","0","12","116","76","161","66","242","102","152","91","91","48","17","19","8","12","52","46","41","43",
"1500000US150010208013","Block Group 3; Census Tract 208.01; Hawaii County; Hawaii","323","82","0","12","21","22","43","35","24","38","39","29","183","69","0","12","13","21","0","12","0","12",
"1500000US150010208021","Block Group 1; Census Tract 208.02; Hawaii County; Hawaii","527","136","0","12","0","12","31","19","5","6","78","98","69","51","98","73","146","107","82","60","18","29",
"1500000US150010208022","Block Group 2; Census Tract 208.02; Hawaii County; Hawaii","190","78","0","12","0","12","0","12","0","12","25","32","48","47","101","58","0","12","0","12","16","25",
"1500000US150010208023","Block Group 3; Census Tract 208.02; Hawaii County; Hawaii","900","191","0","12","18","30","63","73","64","54","41","42","273","145","233","118","133","90","75","65","0","12",
"1500000US150010208024","Block Group 4; Census Tract 208.02; Hawaii County; Hawaii","559","222","0","12","64","46","28","46","30","34","83","98","58","29","148","150","0","12","0","12","148","171",
"1500000US150010208025","Block Group 5; Census Tract 208.02; Hawaii County; Hawaii","458","151","0","12","44","41","57","43","105","81","13","21","136","99","17","28","86","66","0","12","0","12",
"1500000US150010209001","Block Group 1; Census Tract 209; Hawaii County; Hawaii","315","101","0","12","0","12","51","31","62","60","85","64","62","40","25","23","21","25","0","12","9","14",
"1500000US150010209002","Block Group 2; Census Tract 209; Hawaii County; Hawaii","510","121","6","10","26","33","87","56","109","86","77","50","181","84","0","12","9","13","15","26","0","12",
"1500000US150010209003","Block Group 3; Census Tract 209; Hawaii County; Hawaii","320","73","0","12","11","20","32","31","83","58","45","44","101","75","0","12","48","47","0","12","0","12",
"1500000US150010209004","Block Group 4; Census Tract 209; Hawaii County; Hawaii","319","97","0","12","12","20","103","84","79","52","79","41","37","26","0","12","0","12","0","12","9","14",
"1500000US150010209005","Block Group 5; Census Tract 209; Hawaii County; Hawaii","421","125","0","12","43","48","82","74","109","80","31","39","119","69","9","13","9","16","19","28","0","12",
"1500000US150010210031","Block Group 1; Census Tract 210.03; Hawaii County; Hawaii","564","132","11","17","78","63","174","92","79","64","143","81","52","37","27","32","0","12","0","12","0","12",
"1500000US150010210032","Block Group 2; Census Tract 210.03; Hawaii County; Hawaii","569","181","0","12","193","162","153","72","73","43","109","64","22","36","19","31","0","12","0","12","0","12",
"1500000US150010210033","Block Group 3; Census Tract 210.03; Hawaii County; Hawaii","1015","219","0","12","83","86","242","131","205","89","247","130","166","94","25","28","47","45","0","12","0","12",
"1500000US150010210034","Block Group 4; Census Tract 210.03; Hawaii County; Hawaii","154","116","0","12","13","12","10","12","73","102","46","63","12","11","0","12","0","12","0","12","0","12",
"1500000US150010210035","Block Group 5; Census Tract 210.03; Hawaii County; Hawaii","664","156","0","12","49","48","134","84","138","110","314","126","29","26","0","12","0","12","0","12","0","12",
"1500000US150010210111","Block Group 1; Census Tract 210.11; Hawaii County; Hawaii","630","179","0","12","0","12","216","109","147","112","185","110","35","51","0","12","22","38","0","12","25","41",
"1500000US150010210112","Block Group 2; Census Tract 210.11; Hawaii County; Hawaii","956","205","0","12","24","19","355","144","349","134","130","75","69","77","0","12","20","29","9","11","0","12",
"1500000US150010210113","Block Group 3; Census Tract 210.11; Hawaii County; Hawaii","426","145","0","12","24","39","68","47","17","25","217","130","100","70","0","12","0","12","0","12","0","12",
"1500000US150010210131","Block Group 1; Census Tract 210.13; Hawaii County; Hawaii","449","93","0","12","14","18","16","11","48","27","80","33","116","66","90","61","46","41","17","19","22","23",
"1500000US150010210132","Block Group 2; Census Tract 210.13; Hawaii County; Hawaii","609","135","0","12","81","55","52","54","178","80","79","63","66","49","15","21","79","69","28","44","31","29",
"1500000US150010210133","Block Group 3; Census Tract 210.13; Hawaii County; Hawaii","906","149","0","12","49","37","161","92","391","128","155","54","104","67","10","16","32","29","0","12","4","5",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","614","228","0","12","69","104","414","194","0","12","36","60","95","97","0","12","0","12","0","12","0","12",
"1500000US150010210142","Block Group 2; Census Tract 210.14; Hawaii County; Hawaii","852","279","0","12","58","94","95","106","153","126","176","139","274","199","75","12","0","12","21","33","0","12",
"1500000US150010210143","Block Group 3; Census Tract 210.14; Hawaii County; Hawaii","1414","295","0","12","86","79","679","306","291","165","225","152","133","119","0","12","0","12","0","12","0","12",
"1500000US150010210151","Block Group 1; Census Tract 210.15; Hawaii County; Hawaii","865","238","0","12","63","70","539","241","111","109","62","91","0","12","26","37","0","12","0","12","64","99",
"1500000US150010210152","Block Group 2; Census Tract 210.15; Hawaii County; Hawaii","1230","287","0","12","33","53","84","133","213","226","302","262","364","241","173","122","0","12","0","12","61","95",
"1500000US150010210161","Block Group 1; Census Tract 210.16; Hawaii County; Hawaii","921","211","28","47","88","85","390","199","132","82","224","87","36","45","23","27","0","12","0","12","0","12",
"1500000US150010210162","Block Group 2; Census Tract 210.16; Hawaii County; Hawaii","887","168","9","16","40","28","319","111","180","75","170","94","62","49","0","12","83","109","24","41","0","12",
"1500000US150010210163","Block Group 3; Census Tract 210.16; Hawaii County; Hawaii","414","140","0","12","66","77","47","53","104","80","99","74","98","52","0","12","0","12","0","12","0","12",
"1500000US150010210171","Block Group 1; Census Tract 210.17; Hawaii County; Hawaii","379","124","0","12","88","47","200","103","32","25","36","25","13","16","0","12","0","12","0","12","10","18",
"1500000US150010210172","Block Group 2; Census Tract 210.17; Hawaii County; Hawaii","482","140","26","29","70","48","85","41","88","57","88","51","26","22","61","80","25","34","0","12","13","21",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","1133","205","0","12","100","91","200","117","361","167","369","174","49","67","54","83","0","12","0","12","0","12",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","75","55","0","12","0","12","22","24","0","12","42","48","11","15","0","12","0","12","0","12","0","12",
